func,type,x1,x2,p,w,L
lowheight,1,900,1000,10,20,133.470052
lowheight,1,900,1000,10,30,133.470052
lowheight,1,900,1000,25,20,137.7194847
lowheight,1,900,1000,25,30,137.7194847
lowheight,1,900,1000,50,20,142.4409129
lowheight,1,900,1000,50,30,142.4409129
lowheight,1,900,1000,75,20,147.1623412
lowheight,1,900,1000,75,30,147.1623412
lowheight,1,900,1000,90,20,151.4117739
lowheight,1,900,1000,90,30,151.4117739
lowheight,1,900,1000,95,20,153.9548883
lowheight,1,900,1000,95,30,153.9548883
lowheight,1,900,2000,5,20,142.9681374
lowheight,1,900,2000,5,30,142.9681374
lowheight,1,900,2000,10,20,145.5112518
lowheight,1,900,2000,10,30,145.5112518
lowheight,1,900,2000,25,20,149.7606845
lowheight,1,900,2000,25,30,149.7606845
lowheight,1,900,2000,50,20,154.4821128
lowheight,1,900,2000,50,30,154.4821128
lowheight,1,900,2000,75,20,159.203541
lowheight,1,900,2000,75,30,159.203541
lowheight,1,900,2000,90,20,163.4529737
lowheight,1,900,2000,90,30,163.4529737
lowheight,1,900,2000,95,20,165.9960881
lowheight,1,900,2000,95,30,165.9960881
lowheight,1,1800,5,5,20,42.16082499
lowheight,1,1800,5,5,30,42.16082499
lowheight,1,1800,5,10,20,43.67832997
lowheight,1,1800,5,10,30,43.67832997
lowheight,1,1800,5,25,20,46.9537267
lowheight,1,1800,5,25,30,46.9537267
lowheight,1,1800,5,50,20,51.5349598
lowheight,1,1800,5,50,30,51.5349598
lowheight,1,1800,5,75,20,56.86882841
lowheight,1,1800,5,75,30,56.86882841
lowheight,1,1800,5,90,20,62.12786311
lowheight,1,1800,5,90,30,62.12786311
lowheight,1,1800,5,95,20,65.42837941
lowheight,1,1800,5,95,30,65.42837941
lowheight,1,1800,10,5,20,48.1814249
lowheight,1,1800,10,5,30,48.1814249
lowheight,1,1800,10,10,20,49.69892988
lowheight,1,1800,10,10,30,49.69892988
lowheight,1,1800,10,25,20,52.97432662
lowheight,1,1800,10,25,30,52.97432662
lowheight,1,1800,10,50,20,57.55555972
lowheight,1,1800,10,50,30,57.55555972
lowheight,1,1800,10,75,20,62.88942832
lowheight,1,1800,10,75,30,62.88942832
lowheight,1,1800,10,90,20,68.14846302
lowheight,1,1800,10,90,30,68.14846302
lowheight,1,1800,10,95,20,71.44897932
lowheight,1,1800,10,95,30,71.44897932
lowheight,1,1800,50,5,20,62.16082499
lowheight,1,1800,50,5,30,62.16082499
lowheight,1,1800,50,10,20,63.67832997
lowheight,1,1800,50,10,30,63.67832997
lowheight,1,1800,50,25,20,66.9537267
lowheight,1,1800,50,25,30,66.9537267
lowheight,1,1800,50,50,20,81.43315614
lowheight,1,1800,50,50,30,78.26295845
lowheight,1,1800,50,75,20,108.6674912
lowheight,1,1800,50,75,30,102.045453
lowheight,1,1800,50,90,20,112.9169239
lowheight,1,1800,50,90,30,112.9169239
lowheight,1,1800,50,95,20,115.4600383
lowheight,1,1800,50,95,30,115.4600383
lowheight,1,1800,100,5,20,68.1814249
lowheight,1,1800,100,5,30,68.1814249
lowheight,1,1800,100,10,20,69.69892988
lowheight,1,1800,100,10,30,69.69892988
lowheight,1,1800,100,25,20,72.97432662
lowheight,1,1800,100,25,30,72.97432662
lowheight,1,1800,100,50,20,115.9872627
lowheight,1,1800,100,50,30,115.9872627
lowheight,1,1800,100,75,20,120.708691
lowheight,1,1800,100,75,30,120.708691
lowheight,1,1800,100,90,20,124.9581237
lowheight,1,1800,100,90,30,124.9581237
lowheight,1,1800,100,95,20,127.5012381
lowheight,1,1800,100,95,30,127.5012381
lowheight,1,1800,500,5,20,132.4320875
lowheight,1,1800,500,5,30,132.4320875
lowheight,1,1800,500,10,20,134.9752019
lowheight,1,1800,500,10,30,134.9752019
lowheight,1,1800,500,25,20,139.2246347
lowheight,1,1800,500,25,30,139.2246347
lowheight,1,1800,500,50,20,143.9460629
lowheight,1,1800,500,50,30,143.9460629
lowheight,1,1800,500,75,20,148.6674912
lowheight,1,1800,500,75,30,148.6674912
lowheight,1,1800,500,90,20,152.9169239
lowheight,1,1800,500,90,30,152.9169239
lowheight,1,1800,500,95,20,155.4600383
lowheight,1,1800,500,95,30,155.4600383
lowheight,1,1800,1000,5,20,144.4732873
lowheight,1,1800,1000,5,30,144.4732873
lowheight,1,1800,1000,10,20,147.0164018
lowheight,1,1800,1000,10,30,147.0164018
lowheight,1,1800,1000,25,20,151.2658345
lowheight,1,1800,1000,25,30,151.2658345
lowheight,1,1800,1000,50,20,155.9872627
lowheight,1,1800,1000,50,30,155.9872627
lowheight,1,1800,1000,75,20,160.708691
lowheight,1,1800,1000,75,30,160.708691
lowheight,1,1800,1000,90,20,164.9581237
lowheight,1,1800,1000,90,30,164.9581237
lowheight,1,1800,1000,95,20,167.5012381
lowheight,1,1800,1000,95,30,167.5012381
lowheight,1,1800,2000,5,20,156.5144872
lowheight,1,1800,2000,5,30,156.5144872
lowheight,1,1800,2000,10,20,159.0576016
lowheight,1,1800,2000,10,30,159.0576016
lowheight,1,1800,2000,25,20,163.3070343
lowheight,1,1800,2000,25,30,163.3070343
lowheight,1,1800,2000,50,20,168.0284626
lowheight,1,1800,2000,50,30,168.0284626
lowheight,1,1800,2000,75,20,172.7498908
lowheight,1,1800,2000,75,30,172.7498908
lowheight,1,1800,2000,90,20,176.9993235
lowheight,1,1800,2000,90,30,176.9993235
lowheight,1,1800,2000,95,20,179.5424379
lowheight,1,1800,2000,95,30,179.5424379
lowheight,1,2600,5,5,20,45.35484184
lowheight,1,2600,5,5,30,45.35484184
lowheight,1,2600,5,10,20,46.87234683
lowheight,1,2600,5,10,30,46.87234683
lowheight,1,2600,5,25,20,50.14774356
lowheight,1,2600,5,25,30,50.14774356
lowheight,1,2600,5,50,20,54.72897666
lowheight,1,2600,5,50,30,54.72897666
lowheight,1,2600,5,75,20,60.06284527
lowheight,1,2600,5,75,30,60.06284527
lowheight,1,2600,5,90,20,65.32187996
lowheight,1,2600,5,90,30,65.32187996
lowheight,1,2600,5,95,20,68.62239626
lowheight,1,2600,5,95,30,68.62239626
lowheight,1,2600,10,5,20,51.37544176
lowheight,1,2600,10,5,30,51.37544176
lowheight,1,2600,10,10,20,52.89294674
lowheight,1,2600,10,10,30,52.89294674
lowheight,1,2600,10,25,20,56.16834347
lowheight,1,2600,10,25,30,56.16834347
lowheight,1,2600,10,50,20,60.74957657
lowheight,1,2600,10,50,30,60.74957657
lowheight,1,2600,10,75,20,66.08344518
